,history_country
0,Германия в истории
1,Германия в истории
2,Другие страны
3,Германия в истории
4,Нет
5,Германия в истории
6,Германия в истории
7,Другие страны
8,Германия в истории
9,Германия в истории
10,Нет
11,Германия в истории
12,Германия в истории
13,Другие страны
14,Другие страны
15,Другие страны
16,Другие страны
17,Другие страны
18,Германия в истории
19,Германия в истории
20,Германия в истории
21,Другие страны
22,Другие страны
23,Германия в истории
24,Германия в истории
25,Другие страны
26,Германия в истории
27,Германия в истории
28,Другие страны
29,Германия в истории
30,Германия в истории
31,Германия в истории
32,Другие страны
33,Нет
34,Другие страны
35,Германия в истории
36,Другие страны
37,Другие страны
38,Германия в истории
39,Нет
40,Германия в истории
41,Германия в истории
42,Другие страны
43,Другие страны
44,Другие страны
45,Другие страны
46,Германия в истории
47,Другие страны
48,Другие страны
49,Германия в истории
50,Германия в истории
51,Другие страны
52,Германия в истории
53,Германия в истории
54,Нет
55,Нет
56,Другие страны
57,Германия в истории
58,Германия в истории
59,Германия в истории
60,Другие страны
61,Германия в истории
62,Германия в истории
63,Германия в истории
64,Нет
65,Германия в истории
66,Германия в истории
67,Германия в истории
68,Другие страны
69,Нет
70,Германия в истории
71,Нет
72,Нет
73,Германия в истории
74,Другие страны
75,Нет
76,Германия в истории
77,Другие страны
78,Другие страны
79,Другие страны
80,Другие страны
81,Другие страны
82,Другие страны
83,Германия в истории
84,Германия в истории
85,Другие страны
86,Германия в истории
87,Германия в истории
88,Другие страны
89,Другие страны
90,Германия в истории
91,Другие страны
92,Другие страны
93,Германия в истории
94,Германия в истории
95,Другие страны
96,Другие страны
97,Другие страны
98,Другие страны
99,Германия в истории
100,Германия в истории
101,Нет
102,Германия в истории
103,Другие страны
104,Германия в истории
105,Германия в истории
106,Другие страны
107,Другие страны
108,Германия в истории
109,Другие страны
110,Другие страны
111,Другие страны
112,Другие страны
113,Другие страны
114,Другие страны
115,Нет
116,Германия в истории
117,Другие страны
118,Другие страны
119,Германия в истории
120,Другие страны
121,Другие страны
122,Германия в истории
123,Нет
124,Германия в истории
125,Другие страны
126,Германия в истории
127,Германия в истории
128,Другие страны
129,Германия в истории
130,Другие страны
131,Германия в истории
132,Германия в истории
133,Германия в истории
134,Другие страны
135,Другие страны
136,Германия в истории
137,Германия в истории
138,Нет
139,Другие страны
140,Другие страны
141,Германия в истории
142,Германия в истории
143,Другие страны
144,Другие страны
145,Другие страны
146,Германия в истории
147,Другие страны
148,Германия в истории
149,Другие страны
150,Германия в истории
151,Германия в истории
152,Другие страны
153,Германия в истории
154,Другие страны
